number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.7172171714428219,2026-03-29 18:59:31.386473,2026-03-29 18:59:31.845711,0 days 00:00:00.459238,0.7468055921327309,0.05395030966670229,6,175,0.8795975452591109,COMPLETE
1,0.719458960291162,2026-03-29 18:59:31.846039,2026-03-29 18:59:32.061326,0 days 00:00:00.215287,0.9124217733388136,0.07348118405270448,3,131,0.8803345035229626,COMPLETE
2,0.7180186568822562,2026-03-29 18:59:32.061597,2026-03-29 18:59:32.332633,0 days 00:00:00.271036,0.7545474901621302,0.06798962421591129,6,104,0.7637017332034828,COMPLETE
3,0.7174892715519583,2026-03-29 18:59:32.332898,2026-03-29 18:59:32.598301,0 days 00:00:00.265403,0.7873687420594125,0.033477763085159346,4,136,0.8295835055926347,COMPLETE
4,0.7172218134410541,2026-03-29 18:59:32.598560,2026-03-29 18:59:32.942478,0 days 00:00:00.343918,0.8368209952651108,0.019594972058679168,3,222,0.8099085529881075,COMPLETE
5,0.7196505661756355,2026-03-29 18:59:32.942729,2026-03-29 18:59:33.348953,0 days 00:00:00.406224,0.7139351238159993,0.032676417657817626,3,257,0.8777243706586128,COMPLETE
6,0.7142342431320647,2026-03-29 18:59:33.349218,2026-03-29 18:59:33.684065,0 days 00:00:00.334847,0.9896896099223678,0.011615865989246453,3,222,0.984665661176,COMPLETE
7,0.7167778606314106,2026-03-29 18:59:33.684323,2026-03-29 18:59:34.177208,0 days 00:00:00.492885,0.8320457481218804,0.012521954287060391,4,262,0.905269907953647,COMPLETE
8,0.7120738374016662,2026-03-29 18:59:34.177486,2026-03-29 18:59:34.407468,0 days 00:00:00.229982,0.777633994480005,0.01082401838150096,4,124,0.9727961206236346,COMPLETE
9,0.7193485399927901,2026-03-29 18:59:34.407737,2026-03-29 18:59:34.848451,0 days 00:00:00.440714,0.7554563366576581,0.03311829888072381,4,233,0.8640130838029839,COMPLETE
10,0.7181829046069362,2026-03-29 18:59:34.848706,2026-03-29 18:59:35.537329,0 days 00:00:00.688623,0.7043540400640155,0.02086706344143509,5,295,0.7053885626844458,COMPLETE
11,0.7198300238519697,2026-03-29 18:59:35.537610,2026-03-29 18:59:35.808863,0 days 00:00:00.271253,0.9215216634175062,0.09477208497187749,3,169,0.9243450984440396,COMPLETE
12,0.7202514580318915,2026-03-29 18:59:35.809124,2026-03-29 18:59:36.080144,0 days 00:00:00.271020,0.9207792170192208,0.08992194209755879,3,170,0.9209634435437483,COMPLETE
13,0.717069812690433,2026-03-29 18:59:36.080429,2026-03-29 18:59:36.467145,0 days 00:00:00.386716,0.9233663605780128,0.09957080838795268,5,179,0.9343997490875476,COMPLETE
14,0.7216491933293497,2026-03-29 18:59:36.467422,2026-03-29 18:59:36.755279,0 days 00:00:00.287857,0.910348778618128,0.09879255668930571,3,168,0.9380161779603219,COMPLETE
15,0.7194219230712251,2026-03-29 18:59:36.755545,2026-03-29 18:59:37.009690,0 days 00:00:00.254145,0.9787850656662238,0.04967585355261691,3,158,0.9540988370165996,COMPLETE
16,0.7179598911599563,2026-03-29 18:59:37.009963,2026-03-29 18:59:37.469726,0 days 00:00:00.459763,0.8830124343454815,0.04993481098564413,5,197,0.9983819863448891,COMPLETE
17,0.720848004187675,2026-03-29 18:59:37.470004,2026-03-29 18:59:37.849125,0 days 00:00:00.379121,0.9498229615898061,0.07334132750237526,4,199,0.9146004654477198,COMPLETE
18,0.7207076578155942,2026-03-29 18:59:37.849394,2026-03-29 18:59:38.232298,0 days 00:00:00.382904,0.9630821637458368,0.06828678155200077,4,203,0.7882724801328698,COMPLETE
