number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.8135773509992641,2026-03-29 19:00:12.490869,2026-03-29 19:00:12.932603,0 days 00:00:00.441734,0.7468055921327309,0.05395030966670229,6,175,0.8795975452591109,COMPLETE
1,0.8126982355468422,2026-03-29 19:00:12.932900,2026-03-29 19:00:13.137410,0 days 00:00:00.204510,0.9124217733388136,0.07348118405270448,3,131,0.8803345035229626,COMPLETE
2,0.815439088588092,2026-03-29 19:00:13.137670,2026-03-29 19:00:13.426936,0 days 00:00:00.289266,0.7545474901621302,0.06798962421591129,6,104,0.7637017332034828,COMPLETE
3,0.8108390658719302,2026-03-29 19:00:13.427204,2026-03-29 19:00:13.675464,0 days 00:00:00.248260,0.7873687420594125,0.033477763085159346,4,136,0.8295835055926347,COMPLETE
4,0.802527024824814,2026-03-29 19:00:13.675776,2026-03-29 19:00:14.038574,0 days 00:00:00.362798,0.8368209952651108,0.019594972058679168,3,222,0.8099085529881075,COMPLETE
5,0.8101546180474966,2026-03-29 19:00:14.038855,2026-03-29 19:00:14.441838,0 days 00:00:00.402983,0.7139351238159993,0.032676417657817626,3,257,0.8777243706586128,COMPLETE
6,0.7950348396782208,2026-03-29 19:00:14.442089,2026-03-29 19:00:14.795910,0 days 00:00:00.353821,0.9896896099223678,0.011615865989246453,3,222,0.984665661176,COMPLETE
7,0.8083734734492516,2026-03-29 19:00:14.796162,2026-03-29 19:00:15.289905,0 days 00:00:00.493743,0.8320457481218804,0.012521954287060391,4,262,0.905269907953647,COMPLETE
8,0.8009743257991397,2026-03-29 19:00:15.290170,2026-03-29 19:00:15.527817,0 days 00:00:00.237647,0.777633994480005,0.01082401838150096,4,124,0.9727961206236346,COMPLETE
9,0.812497641963664,2026-03-29 19:00:15.528084,2026-03-29 19:00:15.970637,0 days 00:00:00.442553,0.7554563366576581,0.03311829888072381,4,233,0.8640130838029839,COMPLETE
10,0.8114113156114351,2026-03-29 19:00:15.970887,2026-03-29 19:00:16.419089,0 days 00:00:00.448202,0.8955599652334535,0.09322601292624816,6,177,0.7088816251071088,COMPLETE
11,0.8142222924557654,2026-03-29 19:00:16.419338,2026-03-29 19:00:16.883961,0 days 00:00:00.464623,0.7022591914859718,0.05389852582823712,6,175,0.7539498451855433,COMPLETE
12,0.8149668887253764,2026-03-29 19:00:16.884230,2026-03-29 19:00:17.170206,0 days 00:00:00.285976,0.7049889933571869,0.055565179562094905,6,106,0.7450243818127971,COMPLETE
13,0.8142040207605965,2026-03-29 19:00:17.170479,2026-03-29 19:00:17.409088,0 days 00:00:00.238609,0.7010902448724857,0.053880013718724334,5,104,0.7683158302943365,COMPLETE
14,0.8144942937989817,2026-03-29 19:00:17.409342,2026-03-29 19:00:17.656882,0 days 00:00:00.247540,0.8042900291489747,0.09823132212831394,5,109,0.7155869153859449,COMPLETE
15,0.8142495518496387,2026-03-29 19:00:17.657149,2026-03-29 19:00:18.306647,0 days 00:00:00.649498,0.7467351379579557,0.04497071059583655,5,294,0.7807122364408629,COMPLETE
16,0.813861006721021,2026-03-29 19:00:18.306899,2026-03-29 19:00:18.692408,0 days 00:00:00.385509,0.9028350184520528,0.0732785163488766,6,150,0.7383044064716298,COMPLETE
17,0.8126988281423612,2026-03-29 19:00:18.692666,2026-03-29 19:00:19.039552,0 days 00:00:00.346886,0.7399848218076434,0.020111585095657195,5,154,0.7965078521596157,COMPLETE
18,0.8149353823969501,2026-03-29 19:00:19.039825,2026-03-29 19:00:19.312889,0 days 00:00:00.273064,0.8737257683304462,0.07126371204316007,6,107,0.7387946098065464,COMPLETE
19,0.8140850078271992,2026-03-29 19:00:19.313181,2026-03-29 19:00:19.817298,0 days 00:00:00.504117,0.8054564974399636,0.043592932218539625,6,190,0.838242250693886,COMPLETE
20,0.8127074207773866,2026-03-29 19:00:19.817561,2026-03-29 19:00:20.153652,0 days 00:00:00.336091,0.7270815018355792,0.020241572916541595,5,153,0.814324147524502,COMPLETE
21,0.8149501972849248,2026-03-29 19:00:20.153918,2026-03-29 19:00:20.413096,0 days 00:00:00.259178,0.8730847521669033,0.06856031665656741,6,100,0.7419444472259064,COMPLETE
22,0.8145503928414461,2026-03-29 19:00:20.413361,2026-03-29 19:00:20.677872,0 days 00:00:00.264511,0.9611884003455818,0.06331257042202577,6,100,0.7032462398284764,COMPLETE
23,0.8141751811120055,2026-03-29 19:00:20.678137,2026-03-29 19:00:21.000773,0 days 00:00:00.322636,0.8607666430649412,0.04231349646013268,6,123,0.7387438205289987,COMPLETE
