number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.825618595647386,2026-03-29 19:00:44.816577,2026-03-29 19:00:45.255964,0 days 00:00:00.439387,0.7468055921327309,0.05395030966670229,6,175,0.8795975452591109,COMPLETE
1,0.8176020622324062,2026-03-29 19:00:45.256237,2026-03-29 19:00:45.464229,0 days 00:00:00.207992,0.9124217733388136,0.07348118405270448,3,131,0.8803345035229626,COMPLETE
2,0.8247097516530947,2026-03-29 19:00:45.464482,2026-03-29 19:00:45.737051,0 days 00:00:00.272569,0.7545474901621302,0.06798962421591129,6,104,0.7637017332034828,COMPLETE
3,0.8161531661884751,2026-03-29 19:00:45.737314,2026-03-29 19:00:45.993272,0 days 00:00:00.255958,0.7873687420594125,0.033477763085159346,4,136,0.8295835055926347,COMPLETE
4,0.8080095210346718,2026-03-29 19:00:45.993534,2026-03-29 19:00:46.335604,0 days 00:00:00.342070,0.8368209952651108,0.019594972058679168,3,222,0.8099085529881075,COMPLETE
5,0.814228909772394,2026-03-29 19:00:46.335880,2026-03-29 19:00:46.735906,0 days 00:00:00.400026,0.7139351238159993,0.032676417657817626,3,257,0.8777243706586128,COMPLETE
6,0.7977847791840948,2026-03-29 19:00:46.736171,2026-03-29 19:00:47.069911,0 days 00:00:00.333740,0.9896896099223678,0.011615865989246453,3,222,0.984665661176,COMPLETE
7,0.8121793194040465,2026-03-29 19:00:47.070172,2026-03-29 19:00:47.552901,0 days 00:00:00.482729,0.8320457481218804,0.012521954287060391,4,262,0.905269907953647,COMPLETE
8,0.8025555681756453,2026-03-29 19:00:47.553165,2026-03-29 19:00:47.783521,0 days 00:00:00.230356,0.777633994480005,0.01082401838150096,4,124,0.9727961206236346,COMPLETE
9,0.8213866735144372,2026-03-29 19:00:47.783778,2026-03-29 19:00:48.216856,0 days 00:00:00.433078,0.7554563366576581,0.03311829888072381,4,233,0.8640130838029839,COMPLETE
10,0.8260219556639786,2026-03-29 19:00:48.217120,2026-03-29 19:00:48.663501,0 days 00:00:00.446381,0.7046103211984313,0.04967270415089608,6,175,0.7053885626844458,COMPLETE
11,0.8256689662665001,2026-03-29 19:00:48.663763,2026-03-29 19:00:49.106626,0 days 00:00:00.442863,0.701121093343955,0.051587443579299286,6,175,0.7256755205223966,COMPLETE
12,0.8260871411710674,2026-03-29 19:00:49.106896,2026-03-29 19:00:49.598247,0 days 00:00:00.491351,0.7049307854865978,0.04739856723452094,6,175,0.7101223502561891,COMPLETE
13,0.8270234420910721,2026-03-29 19:00:49.598507,2026-03-29 19:00:50.007958,0 days 00:00:00.409451,0.8937569322109723,0.0990736692658567,5,183,0.7012946592526733,COMPLETE
14,0.824815134889555,2026-03-29 19:00:50.008230,2026-03-29 19:00:50.463651,0 days 00:00:00.455421,0.9010302779385576,0.0991806081510549,5,196,0.7626592465812574,COMPLETE
15,0.8249240736991295,2026-03-29 19:00:50.463924,2026-03-29 19:00:51.148422,0 days 00:00:00.684498,0.898256717587686,0.09908696623769005,5,294,0.7513611695432825,COMPLETE
16,0.8175785559434862,2026-03-29 19:00:51.148698,2026-03-29 19:00:51.552910,0 days 00:00:00.404212,0.9531940305133584,0.018146344356832583,5,164,0.7991739003955978,COMPLETE
17,0.8266087239936988,2026-03-29 19:00:51.553179,2026-03-29 19:00:52.025246,0 days 00:00:00.472067,0.8676417264468649,0.07218511031801018,5,203,0.704114613623662,COMPLETE
18,0.8259560787954509,2026-03-29 19:00:52.025587,2026-03-29 19:00:52.497363,0 days 00:00:00.471776,0.8724658911171471,0.07126371204316007,5,195,0.7364600488753812,COMPLETE
19,0.8257222010972894,2026-03-29 19:00:52.497637,2026-03-29 19:00:53.042895,0 days 00:00:00.545258,0.9412818280336237,0.09316866059282886,5,248,0.7858259924316928,COMPLETE
20,0.819718912192159,2026-03-29 19:00:53.043165,2026-03-29 19:00:53.391054,0 days 00:00:00.347889,0.8185394647541337,0.025122613896895813,5,153,0.9360346107488976,COMPLETE
21,0.8267867989471553,2026-03-29 19:00:53.391340,2026-03-29 19:00:53.938655,0 days 00:00:00.547315,0.868997460243296,0.042266659464835724,6,206,0.7006914731560391,COMPLETE
22,0.827133862389444,2026-03-29 19:00:53.938933,2026-03-29 19:00:54.474147,0 days 00:00:00.535214,0.881402962907471,0.04170123411685755,6,205,0.7011559673237453,COMPLETE
23,0.8259467947989867,2026-03-29 19:00:54.474406,2026-03-29 19:00:55.066306,0 days 00:00:00.591900,0.8685755341162423,0.04231349646013268,6,200,0.736830795535985,COMPLETE
24,0.8246055536076722,2026-03-29 19:00:55.066575,2026-03-29 19:00:55.629831,0 days 00:00:00.563256,0.9305855102771459,0.02587835970903758,6,215,0.7769795886008511,COMPLETE
25,0.8250580002864212,2026-03-29 19:00:55.630145,2026-03-29 19:00:56.042817,0 days 00:00:00.412672,0.9695940326906748,0.03972058263013046,6,152,0.7269144910845976,COMPLETE
26,0.8262742038232287,2026-03-29 19:00:56.043088,2026-03-29 19:00:56.772091,0 days 00:00:00.729003,0.8907741322679769,0.0601383936580421,6,276,0.8292385831981095,COMPLETE
27,0.8235519187749075,2026-03-29 19:00:56.772368,2026-03-29 19:00:57.301534,0 days 00:00:00.529166,0.8071470823333358,0.025658223602263934,5,237,0.7493496100090677,COMPLETE
28,0.8264803282979175,2026-03-29 19:00:57.301828,2026-03-29 19:00:57.810733,0 days 00:00:00.508905,0.85520576956422,0.04079871021669188,6,189,0.7004936421343384,COMPLETE
29,0.8271117388234017,2026-03-29 19:00:57.811011,2026-03-29 19:00:58.362903,0 days 00:00:00.551892,0.9325684837502812,0.057174653178760845,6,210,0.7296561335842701,COMPLETE
30,0.8264415132914237,2026-03-29 19:00:58.363176,2026-03-29 19:00:58.859313,0 days 00:00:00.496137,0.925208727259364,0.08451333623753819,6,188,0.7195382202882644,COMPLETE
31,0.8255289161921786,2026-03-29 19:00:58.859588,2026-03-29 19:00:59.415037,0 days 00:00:00.555449,0.8859517819721483,0.05891089079126042,6,209,0.742183428268801,COMPLETE
32,0.8258599795554546,2026-03-29 19:00:59.415303,2026-03-29 19:01:00.063669,0 days 00:00:00.648366,0.9101867334009248,0.08092787982600452,6,232,0.7237363239804002,COMPLETE
33,0.8262793396510602,2026-03-29 19:01:00.063936,2026-03-29 19:01:00.538801,0 days 00:00:00.474865,0.9197618274573899,0.05972574916615133,6,184,0.7808521354203841,COMPLETE
34,0.8253017545765657,2026-03-29 19:01:00.539070,2026-03-29 19:01:01.013442,0 days 00:00:00.474372,0.849702814193905,0.03677534940537898,5,214,0.7589800687257395,COMPLETE
35,0.825990054271873,2026-03-29 19:01:01.013722,2026-03-29 19:01:01.430352,0 days 00:00:00.416630,0.9662947029012023,0.045190863751152326,6,162,0.7014061064868532,COMPLETE
36,0.8259623998143201,2026-03-29 19:01:01.430614,2026-03-29 19:01:02.005250,0 days 00:00:00.574636,0.8829856026599202,0.056584078939145195,6,225,0.7174358859763983,COMPLETE
37,0.823658487202406,2026-03-29 19:01:02.005518,2026-03-29 19:01:02.469972,0 days 00:00:00.464454,0.9455954720766317,0.02911224185085529,5,211,0.7317668942708591,COMPLETE
38,0.8207377814211428,2026-03-29 19:01:02.470234,2026-03-29 19:01:02.684315,0 days 00:00:00.214081,0.8450675217402667,0.06806667234230039,4,110,0.8164025342031365,COMPLETE
39,0.8263752413592167,2026-03-29 19:01:02.684583,2026-03-29 19:01:03.346571,0 days 00:00:00.661988,0.9972932991360461,0.036545494871196064,6,242,0.7680954321293225,COMPLETE
40,0.8158560783016212,2026-03-29 19:01:03.346840,2026-03-29 19:01:03.630305,0 days 00:00:00.283465,0.824225527519479,0.029844059082403687,4,143,0.7456532180093932,COMPLETE
41,0.8259974617158603,2026-03-29 19:01:03.630641,2026-03-29 19:01:04.096672,0 days 00:00:00.466031,0.8622179002029302,0.07609534931916764,5,203,0.7142834078123612,COMPLETE
42,0.8261824502837052,2026-03-29 19:01:04.096946,2026-03-29 19:01:04.619244,0 days 00:00:00.522298,0.9097277358493546,0.0633430708739542,5,222,0.7004638376547653,COMPLETE
43,0.826997071590477,2026-03-29 19:01:04.619513,2026-03-29 19:01:05.021864,0 days 00:00:00.402351,0.8731286527413838,0.08832431394329421,5,179,0.7149141225288017,COMPLETE
44,0.8245603188163892,2026-03-29 19:01:05.022131,2026-03-29 19:01:05.373018,0 days 00:00:00.350887,0.8770887760128557,0.08461921807528427,4,181,0.7158735062808417,COMPLETE
45,0.8168012681544107,2026-03-29 19:01:05.373281,2026-03-29 19:01:05.659224,0 days 00:00:00.285943,0.836087996952106,0.050190903447627985,3,166,0.8937965783257761,COMPLETE
46,0.8252776556921269,2026-03-29 19:01:05.659578,2026-03-29 19:01:06.161094,0 days 00:00:00.501516,0.900211141932544,0.090346575831608,6,192,0.7285880903075848,COMPLETE
47,0.8257568679351504,2026-03-29 19:01:06.161369,2026-03-29 19:01:06.605867,0 days 00:00:00.444498,0.890802855019254,0.06563404577293722,5,179,0.8505248591850249,COMPLETE
48,0.8271988503646932,2026-03-29 19:01:06.606149,2026-03-29 19:01:07.181580,0 days 00:00:00.575431,0.8017346780437695,0.05357841961062493,6,226,0.7557326406139044,COMPLETE
