number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.8437824809276336,2026-04-04 10:37:15.866178,2026-04-04 10:37:16.298578,0 days 00:00:00.432400,0.7468055921327309,0.05395030966670229,6,175,0.8795975452591109,COMPLETE
1,0.8410030544738633,2026-04-04 10:37:16.298840,2026-04-04 10:37:16.504601,0 days 00:00:00.205761,0.9124217733388136,0.07348118405270448,3,131,0.8803345035229626,COMPLETE
2,0.8423331258414278,2026-04-04 10:37:16.504908,2026-04-04 10:37:16.767019,0 days 00:00:00.262111,0.7545474901621302,0.06798962421591129,6,104,0.7637017332034828,COMPLETE
3,0.8417728976968398,2026-04-04 10:37:16.767309,2026-04-04 10:37:17.025100,0 days 00:00:00.257791,0.7873687420594125,0.033477763085159346,4,136,0.8295835055926347,COMPLETE
4,0.8356988375627904,2026-04-04 10:37:17.025460,2026-04-04 10:37:17.380525,0 days 00:00:00.355065,0.8368209952651108,0.019594972058679168,3,222,0.8099085529881075,COMPLETE
5,0.8404769901127694,2026-04-04 10:37:17.380800,2026-04-04 10:37:17.795796,0 days 00:00:00.414996,0.7139351238159993,0.032676417657817626,3,257,0.8777243706586128,COMPLETE
6,0.8309613630770568,2026-04-04 10:37:17.796077,2026-04-04 10:37:18.135576,0 days 00:00:00.339499,0.9896896099223678,0.011615865989246453,3,222,0.984665661176,COMPLETE
7,0.8400773027982456,2026-04-04 10:37:18.135841,2026-04-04 10:37:18.615374,0 days 00:00:00.479533,0.8320457481218804,0.012521954287060391,4,262,0.905269907953647,COMPLETE
8,0.8328358835536126,2026-04-04 10:37:18.615640,2026-04-04 10:37:18.865147,0 days 00:00:00.249507,0.777633994480005,0.01082401838150096,4,124,0.9727961206236346,COMPLETE
9,0.8435819858422965,2026-04-04 10:37:18.865431,2026-04-04 10:37:19.317555,0 days 00:00:00.452124,0.7554563366576581,0.03311829888072381,4,233,0.8640130838029839,COMPLETE
10,0.842864256865328,2026-04-04 10:37:19.317845,2026-04-04 10:37:19.768590,0 days 00:00:00.450745,0.7046103211984313,0.04967270415089608,6,175,0.7053885626844458,COMPLETE
11,0.8433726602874968,2026-04-04 10:37:19.768877,2026-04-04 10:37:20.170032,0 days 00:00:00.401155,0.893113820987147,0.04358180425249973,5,180,0.9238052429505558,COMPLETE
12,0.8437441190520998,2026-04-04 10:37:20.170323,2026-04-04 10:37:20.823027,0 days 00:00:00.652704,0.7509679836424663,0.02139031716614368,5,297,0.795133638783303,COMPLETE
13,0.8440637530942833,2026-04-04 10:37:20.823310,2026-04-04 10:37:21.472348,0 days 00:00:00.649038,0.8033466037849506,0.021123375422170583,5,289,0.7800973218836108,COMPLETE
14,0.8421861926200438,2026-04-04 10:37:21.472623,2026-04-04 10:37:21.904687,0 days 00:00:00.432064,0.8042900291489747,0.020304194979425334,6,172,0.7259106765457812,COMPLETE
15,0.8397746058860146,2026-04-04 10:37:21.904955,2026-04-04 10:37:22.537571,0 days 00:00:00.632616,0.8897083141333159,0.09908696623769005,5,299,0.7706935039587898,COMPLETE
16,0.8410977286874448,2026-04-04 10:37:22.537844,2026-04-04 10:37:23.021272,0 days 00:00:00.483428,0.8202024655054517,0.01576469939938298,6,188,0.8349872807725376,COMPLETE
17,0.842038825113276,2026-04-04 10:37:23.021555,2026-04-04 10:37:23.378175,0 days 00:00:00.356620,0.8660809778587782,0.02627339325060677,5,158,0.9362465927436012,COMPLETE
18,0.8433713574313467,2026-04-04 10:37:23.378461,2026-04-04 10:37:23.905403,0 days 00:00:00.526942,0.9461416759560075,0.04628362585538001,6,209,0.7496668844156134,COMPLETE
