number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.8530773462267838,2026-04-04 10:38:03.422358,2026-04-04 10:38:03.852145,0 days 00:00:00.429787,0.7468055921327309,0.05395030966670229,6,175,0.8795975452591109,COMPLETE
1,0.8468829890415323,2026-04-04 10:38:03.852425,2026-04-04 10:38:04.059526,0 days 00:00:00.207101,0.9124217733388136,0.07348118405270448,3,131,0.8803345035229626,COMPLETE
2,0.8547885753991806,2026-04-04 10:38:04.059808,2026-04-04 10:38:04.319923,0 days 00:00:00.260115,0.7545474901621302,0.06798962421591129,6,104,0.7637017332034828,COMPLETE
3,0.8479417768062653,2026-04-04 10:38:04.320192,2026-04-04 10:38:04.567655,0 days 00:00:00.247463,0.7873687420594125,0.033477763085159346,4,136,0.8295835055926347,COMPLETE
4,0.8374595752688951,2026-04-04 10:38:04.567934,2026-04-04 10:38:04.899795,0 days 00:00:00.331861,0.8368209952651108,0.019594972058679168,3,222,0.8099085529881075,COMPLETE
5,0.8439136351134209,2026-04-04 10:38:04.900080,2026-04-04 10:38:05.285380,0 days 00:00:00.385300,0.7139351238159993,0.032676417657817626,3,257,0.8777243706586128,COMPLETE
6,0.8279934567668901,2026-04-04 10:38:05.285659,2026-04-04 10:38:05.609487,0 days 00:00:00.323828,0.9896896099223678,0.011615865989246453,3,222,0.984665661176,COMPLETE
7,0.8454132225423066,2026-04-04 10:38:05.609761,2026-04-04 10:38:06.078504,0 days 00:00:00.468743,0.8320457481218804,0.012521954287060391,4,262,0.905269907953647,COMPLETE
8,0.8358496793526253,2026-04-04 10:38:06.078769,2026-04-04 10:38:06.300901,0 days 00:00:00.222132,0.777633994480005,0.01082401838150096,4,124,0.9727961206236346,COMPLETE
9,0.8519726689732046,2026-04-04 10:38:06.301175,2026-04-04 10:38:06.724797,0 days 00:00:00.423622,0.7554563366576581,0.03311829888072381,4,233,0.8640130838029839,COMPLETE
10,0.8524628324092706,2026-04-04 10:38:06.725059,2026-04-04 10:38:07.191694,0 days 00:00:00.466635,0.8955599652334535,0.09322601292624816,6,177,0.7088816251071088,COMPLETE
11,0.8520922422154344,2026-04-04 10:38:07.191963,2026-04-04 10:38:07.619471,0 days 00:00:00.427508,0.7022591914859718,0.05389852582823712,6,175,0.7539498451855433,COMPLETE
