number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.9108754117304283,2026-04-05 12:36:58.945054,2026-04-05 12:36:59.427752,0 days 00:00:00.482698,0.7468055921327309,0.05395030966670229,6,175,0.8795975452591109,COMPLETE
1,0.9086888330312743,2026-04-05 12:36:59.428014,2026-04-05 12:36:59.640568,0 days 00:00:00.212554,0.9124217733388136,0.07348118405270448,3,131,0.8803345035229626,COMPLETE
2,0.9113151176055192,2026-04-05 12:36:59.640835,2026-04-05 12:36:59.917304,0 days 00:00:00.276469,0.7545474901621302,0.06798962421591129,6,104,0.7637017332034828,COMPLETE
3,0.9079101625193211,2026-04-05 12:36:59.917588,2026-04-05 12:37:00.182770,0 days 00:00:00.265182,0.7873687420594125,0.033477763085159346,4,136,0.8295835055926347,COMPLETE
4,0.9043065891683415,2026-04-05 12:37:00.183042,2026-04-05 12:37:00.566640,0 days 00:00:00.383598,0.8368209952651108,0.019594972058679168,3,222,0.8099085529881075,COMPLETE
5,0.9084326342352307,2026-04-05 12:37:00.566916,2026-04-05 12:37:00.986128,0 days 00:00:00.419212,0.7139351238159993,0.032676417657817626,3,257,0.8777243706586128,COMPLETE
6,0.9005425211976354,2026-04-05 12:37:00.986385,2026-04-05 12:37:01.351702,0 days 00:00:00.365317,0.9896896099223678,0.011615865989246453,3,222,0.984665661176,COMPLETE
7,0.9065107482012257,2026-04-05 12:37:01.351962,2026-04-05 12:37:01.859134,0 days 00:00:00.507172,0.8320457481218804,0.012521954287060391,4,262,0.905269907953647,COMPLETE
8,0.9021473686289809,2026-04-05 12:37:01.859407,2026-04-05 12:37:02.098309,0 days 00:00:00.238902,0.777633994480005,0.01082401838150096,4,124,0.9727961206236346,COMPLETE
9,0.9102077541123659,2026-04-05 12:37:02.098590,2026-04-05 12:37:02.560943,0 days 00:00:00.462353,0.7554563366576581,0.03311829888072381,4,233,0.8640130838029839,COMPLETE
10,0.9102965446742947,2026-04-05 12:37:02.561217,2026-04-05 12:37:03.024225,0 days 00:00:00.463008,0.8955599652334535,0.09322601292624816,6,177,0.7088816251071088,COMPLETE
11,0.9116447982459173,2026-04-05 12:37:03.024500,2026-04-05 12:37:03.504697,0 days 00:00:00.480197,0.7022591914859718,0.05389852582823712,6,175,0.7539498451855433,COMPLETE
12,0.9113906735341901,2026-04-05 12:37:03.504979,2026-04-05 12:37:03.808000,0 days 00:00:00.303021,0.7049889933571869,0.055565179562094905,6,106,0.7450243818127971,COMPLETE
13,0.9118011446970108,2026-04-05 12:37:03.808303,2026-04-05 12:37:04.217265,0 days 00:00:00.408962,0.7019702870918414,0.0470147316725507,5,167,0.7025744588346193,COMPLETE
14,0.9116171437883644,2026-04-05 12:37:04.217528,2026-04-05 12:37:04.634381,0 days 00:00:00.416853,0.7043901420584221,0.0494836027815246,5,172,0.714604589982005,COMPLETE
15,0.9112180307063246,2026-04-05 12:37:04.634747,2026-04-05 12:37:05.348032,0 days 00:00:00.713285,0.7970727423480476,0.022019086029334355,5,294,0.7803479006588697,COMPLETE
16,0.9108872636408082,2026-04-05 12:37:05.348347,2026-04-05 12:37:05.731252,0 days 00:00:00.382905,0.9006342732767837,0.04332074611673467,5,157,0.7368504864605472,COMPLETE
17,0.9103956068918859,2026-04-05 12:37:05.731518,2026-04-05 12:37:06.219894,0 days 00:00:00.488376,0.9988050968083639,0.023255814895550037,5,203,0.7885379020373973,COMPLETE
18,0.9113637104380763,2026-04-05 12:37:06.220176,2026-04-05 12:37:06.741889,0 days 00:00:00.521713,0.7330331351099882,0.04187739196728025,6,189,0.7373405922999589,COMPLETE
19,0.9117031689045377,2026-04-05 12:37:06.742188,2026-04-05 12:37:07.105196,0 days 00:00:00.363008,0.8054564974399636,0.09316866059282886,5,152,0.7032967567731313,COMPLETE
20,0.9114622788260683,2026-04-05 12:37:07.105465,2026-04-05 12:37:07.465447,0 days 00:00:00.359982,0.874726777320204,0.09941845378116429,5,149,0.9363719784876223,COMPLETE
21,0.9108229670269977,2026-04-05 12:37:07.465706,2026-04-05 12:37:07.848835,0 days 00:00:00.383129,0.8171281001329198,0.07078354465511351,5,156,0.7007034305505191,COMPLETE
22,0.9100571360846227,2026-04-05 12:37:07.849098,2026-04-05 12:37:08.396474,0 days 00:00:00.547376,0.72953379999681,0.08157068195656773,6,196,0.7545651509802123,COMPLETE
23,0.9114965506002498,2026-04-05 12:37:08.396761,2026-04-05 12:37:08.755519,0 days 00:00:00.358758,0.9441981116733494,0.06216552890990406,5,146,0.7220318350396578,COMPLETE
24,0.911420797139739,2026-04-05 12:37:08.755807,2026-04-05 12:37:09.180306,0 days 00:00:00.424499,0.7713090962983292,0.04392932307956484,5,173,0.7798946175961018,COMPLETE
25,0.9097108627696926,2026-04-05 12:37:09.180594,2026-04-05 12:37:09.732854,0 days 00:00:00.552260,0.8631842121928633,0.08274988004939426,6,209,0.7008413533755967,COMPLETE
26,0.9063316855885708,2026-04-05 12:37:09.733126,2026-04-05 12:37:09.973989,0 days 00:00:00.240863,0.7299928604238988,0.026855169717792893,4,117,0.8160725988645344,COMPLETE
27,0.9108481523365547,2026-04-05 12:37:09.974246,2026-04-05 12:37:10.427535,0 days 00:00:00.453289,0.8072513810834343,0.03845551487844828,5,187,0.7303469214715811,COMPLETE
28,0.911141487118455,2026-04-05 12:37:10.427821,2026-04-05 12:37:10.878652,0 days 00:00:00.450831,0.7604967983883388,0.05938323138932663,6,165,0.7685188601126367,COMPLETE
29,0.9109480046815046,2026-04-05 12:37:10.878935,2026-04-05 12:37:11.257802,0 days 00:00:00.378867,0.7398918765961264,0.05122534380544044,6,138,0.8041071561413503,COMPLETE
30,0.9108082509049427,2026-04-05 12:37:11.258113,2026-04-05 12:37:11.686781,0 days 00:00:00.428668,0.7219130349253008,0.0854924235703653,5,181,0.8384924023240878,COMPLETE
31,0.9117164035377953,2026-04-05 12:37:11.687076,2026-04-05 12:37:12.074332,0 days 00:00:00.387256,0.7035305263493753,0.05643938424068034,5,167,0.7200965697017855,COMPLETE
32,0.9114197107146209,2026-04-05 12:37:12.074607,2026-04-05 12:37:12.453394,0 days 00:00:00.378787,0.7066942458919461,0.0498633371725682,5,157,0.7262694988008781,COMPLETE
33,0.9111332895471089,2026-04-05 12:37:12.453665,2026-04-05 12:37:12.794600,0 days 00:00:00.340935,0.7414581542387594,0.06528669473983106,4,166,0.7524976607939787,COMPLETE
34,0.9109567948483696,2026-04-05 12:37:12.794873,2026-04-05 12:37:13.188177,0 days 00:00:00.393304,0.7010972733261144,0.07332768934860437,6,142,0.7197977281867068,COMPLETE
35,0.9091396006893862,2026-04-05 12:37:13.188450,2026-04-05 12:37:13.500144,0 days 00:00:00.311694,0.7649408634997088,0.02824702851084233,5,126,0.7638120110731246,COMPLETE
36,0.9118511202524456,2026-04-05 12:37:13.500418,2026-04-05 12:37:14.008157,0 days 00:00:00.507739,0.9470833858378597,0.03803693497338008,5,213,0.748412297778408,COMPLETE
37,0.9117614407972385,2026-04-05 12:37:14.008449,2026-04-05 12:37:14.524910,0 days 00:00:00.516461,0.9396787891282813,0.03799558715714711,5,214,0.7111980554460943,COMPLETE
38,0.9105881016696378,2026-04-05 12:37:14.525178,2026-04-05 12:37:14.994854,0 days 00:00:00.469676,0.942361503374821,0.039247013540126406,4,235,0.7979248907827752,COMPLETE
39,0.909251798774315,2026-04-05 12:37:14.995145,2026-04-05 12:37:15.515931,0 days 00:00:00.520786,0.9676293763695202,0.015429594119475832,5,216,0.7370903059445292,COMPLETE
40,0.910543360707954,2026-04-05 12:37:15.516235,2026-04-05 12:37:16.021005,0 days 00:00:00.504770,0.9156449635528953,0.03585074749108745,4,249,0.7176279024624991,COMPLETE
